主体,年代
Vase_(one_of_a_pair),Qing Dynasty (1644-1911)
Bottle_(One_of_a_Pair),Qing Dynasty (1644-1911)
Stand,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Bowl_(one_of_a_pair),Qing Dynasty (1644-1911)
Figural_Support,Western Han Dynasty (206 BCE-9 CE)
Chariot_Bell,Western Zhou Dynasty (c. 1100-771 BCE)
Oxblood_Glazed_Vase_(Mei_ping),Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Mirror,Han Dynasty (206 BCE-220 CE) or later
Bowl,Qing Dynasty (1644-1911)
"Snuff_Bottle,_Stopper_and_Stand",Qing Dynasty (1644-1911)
Jar_(Hu),Eastern Han Dynasty (25-220)
Bowl,Qing Dynasty (1644-1911)
Jar,Ming Dynasty (1368-1644)
Bowl,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Unidentified_Rubbing,Six Dynasties Period (220-589)
Plate,Qing Dynasty (1644-1911)
Nesting_Cup_(One_of_Eight),Qing Dynasty (1644-1911)
Nesting_Cup_(One_of_Eight),Qing Dynasty (1644-1911)
Nesting_Cup_(One_of_Eight),Qing Dynasty (1644-1911)
Stem_Cup,Northern Song Dynasty (960-1127)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Head_of_a_Buddha,Northern Qi Dynasty (550-577)
Rubbing_from_the_Nestorian_Tablet,Tang Dynasty (618-907)
Rubbing_from_The_Nestorian_Tablet,Tang Dynasty (618-907)
Dish,Qing Dynasty (1644-1911)
Manchu_Official_wearing_Winter_Dress,Qing Dynasty (1644-1911)
Orange_Honeysuckle_(Lonicera),Qing Dynasty (1644-1911)
Magnolia_and_Insects,Qing Dynasty (1644-1911)
Rank_Badge_for_a_Censor,Qing Dynasty (1644-1911)
Embroidered_Textile,Qing Dynasty (1644-1911)
Manchu_Woman's_Formal_Unofficial_Robe,Qing Dynasty (1644-1911)
Vermillion_Brocade_Flower,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Bowl,Yuan Dynasty (1271-1368) - Ming Dynasty (1368-1644)
Deity,Qing Dynasty (1644-1911) or later
Dish_(one_of_a_pair),Qing Dynasty (1644-1911)
Untitled,Qing Dynasty (1644-1911) or later
Carving_of_Fish_and_Shells,Qing Dynasty (1644-1911)
Box_Containing_Ten_Wine_Cups,Qing Dynasty (1644-1911)
"The_Daoist_Immortal,_Li_Tieguai",Qing Dynasty (1644-1911)
Jardiniere,Qing Dynasty (1644-1911)
Jar_with_Lid,Qing Dynasty (1644-1911)
Spoon,Qing Dynasty (1644-1911)
Armored_Horse_and_Rider,Northern Qi Dynasty (550-577)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Lady_beneath_Tall_Bamboo,Southern Song Dynasty (1127-1279)
Bell,Qing Dynasty (1644-1911)
Dish_with_a_Lotus_Blossom,Song Dynasty (960-1279)
Stool,Qing Dynasty (1644-1911)
Faceted_Vase_with_Morning_Glories,Ming Dynasty (1368-1644)
Figure_of_Guanyin_(Avalokitesvara),Qing Dynasty (1644-1911)
Cup_(kiln_waster),Southern Song Dynasty (1127-1279)
Guardian_Figure,Tang Dynasty (618-907)
Bust_of_Female_Attendant,Tang Dynasty (618-907)
Figure_of_an_Attendant,Tang Dynasty (618-907)
Figure_of_an_Attendant,Tang Dynasty (618-907)
Guardian_Figure,Tang Dynasty (618-907)
Guardian_Warrior,Tang Dynasty (618-907)
Well_Head,Northern and Southern Dynasties (317-589)
Figure_of_a_Boy,Song Dynasty (960-1279)
Figure_of_Female_Attendant,Tang Dynasty (618-907)
Bodhisattva_of_Compassion_(Guanyin),Ming Dynasty (1368-1644)
Jade_Ring,Song Dynasty (960-1279) or later
Jar_(Hu),Han Dynasty (206 BCE-220 CE)
"Swans,_Lotus_and_Reeds",Qing Dynasty (1644-1911)
Head_of_Temple_Guardian,Ming Dynasty (1368-1644)
Fragment_of_Votive_Stele,Sui Dynasty (581-618)
Head_of_Buddha,Northern Wei Dynasty (386-535)
Belt_Hook,Ming Dynasty (1368-1644) or later
Boating_on_Misty_River,Qing Dynasty (1644-1911)
Ancestor_Portrait,Ming Dynasty (1368-1644) or later
Boating_by_a_Cliff,Ming Dynasty (1368-1644)
Daoist_Immortals_in_Landscape,Qing Dynasty (1644-1911)
Scholars_Traveling_in_Landscape,Qing Dynasty (1644-1911)
Monkey_Playing_with_Crab,Qing Dynasty (1644-1911)
Square_Hu-form_Vessel,Qing Dynasty (1644-1911)
Dish_and_Wooden_Stand,Qing Dynasty (1644-1911)
Small_Leaf-Shaped_Dish,Qing Dynasty (1644-1911)
Small_Box_and_Cover,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Spouted_Dish_with_Plate,Yuan Dynasty (1271-1368)
Miniature_Vase_and_Stand,Qing Dynasty (1644-1911)
Cat_Nightlight,Qing Dynasty (1644-1911)
Six-Post_Canopy_Bed,Ming Dynasty (1368-1644)
Manchu_Woman's_Informal_Robe,Qing Dynasty (1644-1911)
Mandarin_Duck,Qing Dynasty (1644-1911)
Armchair_(Fu_Shou_Yi),Ming Dynasty (1368-1644)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Teabowl_with_Tortoiseshell_Pattern,Song Dynasty (960-1279)
Tea_Caddy,Qing Dynasty (1644-1911)
Attendant,Northern Wei Dynasty (386-535)
Attendant,Northern Wei Dynasty (386-535)
Pouring_Vessel,Han Dynasty (206 BCE-220 CE)
Jar_(Hu),Han Dynasty (206 BCE-220 CE)
Open_Bowl,Qing Dynasty (1644-1911)
Small_Plate,Qing Dynasty (1644-1911)
Octagonal_Plate,Qing Dynasty (1644-1911)
Tea_Caddy,Qing Dynasty (1644-1911)
Botanical_Subject,Qing Dynasty (1644-1911)
Man's_Hat_(Mao-tien),Qing Dynasty (1644-1911)
Woven_Textile,Han Dynasty (206 BCE-220 CE)
Female_Costume,Qing Dynasty (1644-1911)
Manchu_Official,Qing Dynasty (1644-1911)
Balancing_Act,Qing Dynasty (1644-1911)
Longevity_Scene,Qing Dynasty (1644-1911)
"The_Imperial_Palace,_Peking",Qing Dynasty (1644-1911)
Snuff_Bottle,Qing Dynasty (1644-1911)
Tea_Jar_and_Lid,Qing Dynasty (1644-1911)
Covered_Vase,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Dragons_Amid_Peony_Blossoms,Qing Dynasty (1644-1911)
Lock__(One_of_Pair),Qing Dynasty (1644-1911)
Pillow,Jin Dynasty (1115-1234)
Pillow,Yuan Dynasty (1271-1368)
Stand,Northern Dynasties (386-581)
Jardiniere_(one_of_pair),Qing Dynasty (1644-1911)
Snuff_Bottle,Qing Dynasty (1644-1911)
Snuff_Bottle,Qing Dynasty (1644-1911)
Snuff_Bottle,Qing Dynasty (1644-1911)
Snuff_Bottle,Qing Dynasty (1644-1911)
Round-back_Armchair_(Quanyi),Ming Dynasty (1368-1644)
Game_Box,Qing Dynasty (1644-1911)
Salt_Spoon,Qing Dynasty (1644-1911)
Wall_Hanging-Plum_Blossom,Qing Dynasty (1644-1911)
Beaker_Vase_(one_of_a_pair),Qing Dynasty (1644-1911)
Lions_and_Foreign_Groom,Late Ming Dynasty (1368-1644) - early Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Buckle,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Card_Case,Qing Dynasty (1644-1911)
Root_carving_of_an_animal,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Figure_of_Lady_and_Children,Song Dynasty (960-1279)
Ridge_Tile_with_Sea_Horse,Ming Dynasty (1368-1644)
Figure_of_a_Recumbent_Boar,Tang Dynasty (618-907)
Tripod_Vessel_(Ding),Zhou Dynasty (c. 1100-256 BCE)
Vase_with_Garlic-Form_Mouth,Ming Dynasty (1368-1644)
Hu_Form_Vase,Han Dynasty (206 BCE-220 CE)
Harness_Trappings_(Ten),Zhou Dynasty (c. 1100-256 BCE)
Scholar_Seated_by_a_Stream,Qing Dynasty (1644-1911)
Boating_in_a_Snowy_Landscape,Qing Dynasty (1644-1911)
Herdsboy_and_Buffalo_in_Water,Ming Dynasty (1368-1644)
Portrait_of_Jiang_Yi_Gong,Qing Dynasty (1644-1911)
Crossing_a_Waterfall,Yuan Dynasty (1271-1368) or later
Tea_Merchants,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Jar_(One_of_a_Pair),Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Bowl,Ming Dynasty (1368-1644)
Plate,Qing Dynasty (1644-1911)
Dish,Jin Dynasty (1115-1234) - Yuan Dynasty (1271-1368)
Jarlet,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Yokeback_Armchair_(One_of_pair),Ming Dynasty (1368-1644)
Vase,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Cockeral_(One_of_a_Pair),Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Quail,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Case_of_Knife_and_Chopsticks,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Ewer,Qing Dynasty (1644-1911)
Horse,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Animal-form_Vessel_(Huzi),Western Jin Dynasty (265-317)
Bowl,Qing Dynasty (1644-1911)
Candlestick,Qing Dynasty (1644-1911)
Candlestick,Qing Dynasty (1644-1911)
Vase_(one_of_a_pair),Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Woven_Fragment_(Two),Han Dynasty (206 BCE-220 CE)
Cuspidor,Tang Dynasty (618-907)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Model_of_a_Stove,Eastern Han Dynasty (25-220)
Dish,Qing Dynasty (1644-1911)
Two_Flower_Sellers,Qing Dynasty (1644-1911)
Auspicious_Objects_of_the_Merchant,Qing Dynasty (1644-1911)
Entertainer_or_Magician,Qing Dynasty (1644-1911)
Performer_Juggling_Knives,Qing Dynasty (1644-1911)
Performer_with_Vase,Qing Dynasty (1644-1911)
Performer_with_Snake,Qing Dynasty (1644-1911)
Dish_with_Barbed_Rim,Southern Song Dynasty (1127-1279)
Vase,Qing Dynasty (1644-1911)
Two-Part_Chest_and_Stand,Qing Dynasty (1644-1911)
Vase,Ming Dynasty (1368-1644)
Model_of_a_Granary,Eastern Han Dynasty (25-220)
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Bowl,Ming Dynasty (1368-1644)
The_Daoist_Immortal_Lü_Dongbin,Ming Dynasty (1368-1644)
Nomad_with_a_Tribute_Horse,Qing Dynasty (1644-1911)
At_the_Riverbank,Qing Dynasty (1644-1911)
Urn_with_Lid,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Teacup_with_Cover_and_Stand,Qing Dynasty (1644-1911)
Seal,Ming Dynasty (1368-1644)
Bowl,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Ewer,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Bottle_(one_of_a_pair),Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Table,Ming Dynasty (1368-1644) - Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Pendant,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Jar_(Hu-shaped),Han Dynasty (206 BCE-220 CE)
Playing_with_Children,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Commemorative_Portrait_of_a_Scholar,Ming Dynasty (1368-1644)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Nesting_Cup_(One_of_Eight),Qing Dynasty (1644-1911)
Small_Covered_Bowl,Qing Dynasty (1644-1911)
Model_of_a_Grain_Mortar,Sui Dynasty (581-618)
Manchu_Civil_Official,Qing Dynasty (1644-1911)
Gardenia_and_Butterflies,Qing Dynasty (1644-1911)
Small_Begonia_Flower,Qing Dynasty (1644-1911)
Female_Playing_Percussion,Qing Dynasty (1644-1911)
Bowl_with_Floral_Design,Northern Song Dynasty (960-1127)
Stand,Qing Dynasty (1644-1911)
Pebble,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Bulb_Dish_(one_of_pair),Qing Dynasty (1644-1911)
Tripod_Warming_Vessel_(Jiaodou),Tang Dynasty (618-907)
Bowl_(One_of_a_Pair),Qing Dynasty (1644-1911)
Elderly_Official_Smoking,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Dish,Ming Dynasty (1368-1644)
Fan,Qing Dynasty (1644-1911)
Lobed_Dish_with_Cloud_Scrolls,Ming Dynasty (1368-1644)
Bowl_with_three_fish_design,Qing Dynasty (1644-1911)
Bowl_with_three_fish_design,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Dish,Ming Dynasty (1368-1644)
Plate,Qing Dynasty (1644-1911)
Saucer,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Basin,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Censer,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Cup,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Seated_Figure_of_a_Woman,Tang Dynasty (618-907)
Figure_of_a_Female_Rider,Tang Dynasty (618-907)
Short_Sword_(Jian),Han Dynasty (206 BCE-220 CE)
Bowl,Qing Dynasty (1644-1911)
Figure_of_Bird,Qing Dynasty (1644-1911) or later
Snow_Clearing_over_Myriad_Peaks,Qing Dynasty (1644-1911)
Traveling_in_a_Mountain_Valley,Qing Dynasty (1644-1911)
The_Daoist_Immortal_Li_Tieguai,Qing Dynasty (1644-1911)
Retreat_in_the_Mountain_Valley,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Shaohao,Qing Dynasty (1644-1911)
Gathering_Plants_in_Snowy_Mountain,Qing Dynasty (1644-1911)
Dwelling_Among_Water_and_Bamboo,Qing Dynasty (1644-1911)
Mynah_on_Watertub,Ming Dynasty (1368-1644)
Vase,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Bottle,Qing Dynasty (1644-1911)
Jar_with_Cover_and_Stand,Qing Dynasty (1644-1911)
Jar,Qing Dynasty (1644-1911)
Jar,Ming Dynasty (1368-1644)
Saucer,Qing Dynasty (1644-1911)
Basin,Ming Dynasty (1368-1644)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Yokeback_Armchair_(One_of_pair),Ming Dynasty (1368-1644)
Pewter_Food_Container_with_Cover,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Stand,Qing Dynasty (1644-1911)
Vase_(one_of_a_pair),Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Stand,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Bowl,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Court_Attendant,Western Han Dynasty (206 BCE-9 CE)
Basin,Ming Dynasty (1368-1644)
Mallet_Vase_with_Phoenix_Handles,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Buckle,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911)
Nesting_Cup_(One_of_Eight),Qing Dynasty (1644-1911)
Nesting_Cup_(One_of_Eight),Qing Dynasty (1644-1911)
Wheel_of_Cart,Tang Dynasty (618-907)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Terminal_Roof_Tile,Zhou Dynasty (c. 1100-256 BCE)
Male_Figure,Song Dynasty (960-1279)
Bodhisattva,Northern Wei Dynasty (386-535)
Rubbing_from_an_Epitaph_Cover,Ming Dynasty (1368-1644)
Bodhidharma,Ming Dynasty (1368-1644)
Ritual_Food_Vessel_(Ding),Eastern Han Dynasty (25-220)
Vase_with_Lid,Qing Dynasty (1644-1911)
Vase_with_Lid,Qing Dynasty (1644-1911)
Teapot_and_Cover,Qing Dynasty (1644-1911)
Dish,Qing Dynasty (1644-1911)
Seated_Manchu_Official,Qing Dynasty (1644-1911)
Botanical_Album:_Chrysanthemum,Qing Dynasty (1644-1911)
Botanical_Album:_Marigold,Qing Dynasty (1644-1911)
Bombax_and_Butterfly,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Plate,Qing Dynasty (1644-1911)
Two-Part_Chest_and_Stand,Qing Dynasty (1644-1911)
Teapot,Qing Dynasty (1644-1911)
Gourd_Snuff_Bottle_with_Case,Qing Dynasty (1644-1911)
Official_Drinking_Tea,Qing Dynasty (1644-1911)
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Untitled,Qing Dynasty (1644-1911) or later
Tripod_Food_Vessel_(Ding),Eastern Han Dynasty (25-220)
Pouring_Vessel_(kendi),Ming Dynasty (1368-1644)
Saucer,Qing Dynasty (1644-1911)
Dish_with_Dragon,Ming Dynasty (1368-1644)
Vase,Qing Dynasty (1644-1911)
Bodhisattva_of_Compassion_(Guanyin),Northern Song Dynasty (960-1127)
Bottle,Qing Dynasty (1644-1911)
Wine_Bottle,Northern Song Dynasty (960-1127)
Mynah_Bird_on_a_Branch,Ming Dynasty (1368-1644)
"Jar_with_a_Mythical_Qilin,_Lion,_and_Elephant",Qing Dynasty (1644-1911)
Vase_(P'ing),Qing Dynasty (1644-1911)
Ruyi_Scepter,Qing Dynasty (1644-1911)
Cricket_Jar,Qing Dynasty (1644-1911)
Medallion,Ming Dynasty (1368-1644) or Qing Dynasty (1644-1911)
Storage_Jar_(Hu),Eastern Han Dynasty (25-220)
Ewer,Northern Song Dynasty (960-1127)
Jar,Northern Song Dynasty (960-1127)
Dish,Song Dynasty (960-1279)
Bowl,Northern Song Dynasty (960-1127)
Cover,Northern Song (960-1127) or Jin Dynasty (1115-1234)
Jar,Jin Dynasty (1115-1234)
Court_Attendant,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Court_Lady,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Court_Lady,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Luohan_(Disciple_of_the_Buddha),Northern Song Dynasty (960-1127)
Snow_Clearing_over_a_Mountain_Path,Qing Dynasty (1644-1911)
Daoist_Immortal_Lü_Dongbin_Drinking_Wine,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Zhou_Gong,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Qu_Yuan,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Wang_Shenzhi,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Guo_Ziyi,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Xiang_Wang,Qing Dynasty (1644-1911)
Portraits_of_Famous_Men:_Emperor_Ku,Qing Dynasty (1644-1911)
Daoist_God_of_Longevity,Qing Dynasty (1644-1911)
Head_of_a_Luohan_or_Bodhidharma,Ming Dynasty (1368-1644)
"Endless_Streams_and_Misty,_Cloudy_Sky",Ming Dynasty (1368-1644)
Fish_Bowl,Qing Dynasty (1644-1911)
Tea_Poy,Qing Dynasty (1644-1911)
Vase,Qing Dynasty (1644-1911) or Republican Period (1912-1949)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Lotus,Qing Dynasty (1644-1911) or Republican Period (1912-1949)
Buckle,Han Dynasty (206 BCE-220 CE)
Tripod_Food_Vessel_(Ding),Eastern Zhou Dynasty (770-256 BCE)
Libation_Cup,Qing Dynasty (1644-1911)
Libation_Cup,Qing Dynasty (1644-1911)
Libation_Cup,Qing Dynasty (1644-1911)
Club_Vase,Qing Dynasty (1644-1911)
Water_Pot,Qing Dynasty (1644-1911)
Lidded_Jar,Qing Dynasty (1644-1911)
Square_Vase,Qing Dynasty (1644-1911)
Small_Bottle_(One_of_a_Pair),Qing Dynasty (1644-1911)
Wine_Pot,Qing Dynasty (1644-1911)
Incense_Burner,Qing Dynasty (1644-1911)
Snuff_Bottle_-_Mythical_Figures_and_Creatures,Qing Dynasty (1644-1911)
Snuff_Bottle_-_Mythical_Figures_and_Creatures,Qing Dynasty (1644-1911)
Square_Bowl,Qing Dynasty (1644-1911)
Covered_Jar,Qing Dynasty (1644-1911)
Brush_washer,Qing Dynasty (1644-1911)
Large_Dish,Qing Dynasty (1644-1911)
Large_Dish,Qing Dynasty (1644-1911)
Dish_(Pair),Qing Dynasty (1644-1911)
Court_Attendant,Sui Dynasty (581-618) - Tang Dynasty (618-907)
"Carving_of_Ducks,_Grapes_and_Squirrels",Qing Dynasty (1644-1911)
Mirror_Painting,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Staff_Bearer,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Court_Attendant,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Court_Attendant,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Court_Lady,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Dish,Northern Song (960-1127) or Jin Dynasty (1115-1234)
Bowl,Northern Song (960-1127) or Jin Dynasty (1115-1234)
Military_Official's_Rank_Badge,Ming Dynasty (1368-1644)
Attendant,Northern Wei Dynasty (386-535)
Attendant,Northern Wei Dynasty (386-535)
Attendant,Northern Wei Dynasty (386-535)
Attendant,Northern Wei Dynasty (386-535)
Attendant,Northern Wei Dynasty (386-535)
Bowl,Northern Song (960-1127) or Jin Dynasty (1115-1234)
Boat_with_Three_Masts,Qing Dynasty (1644-1911)
Rubbing_from_Stone_Sarcophagus,Tang Dynasty (618-907)
Staff_Bearer,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Court_Lady,Sui Dynasty (581-618) - Tang Dynasty (618-907)
Hill-shaped_Incense_Burner_(Boshanlu),Eastern Han Dynasty (25-220)
Dog,Ming Dynasty (1368-1644) or Qing Dynasty (1644-1911)
Seal,Qing Dynasty (1644-1911) or Republican Period (1912-1949)
Temple_Banner,Qing Dynasty (1644-1911)
Temple_Banner,Qing Dynasty (1644-1911)
Manchu_Informal_Summer_Attire,Qing Dynasty (1644-1911)
Botanical_Subject_and_Butterflies,Qing Dynasty (1644-1911)
Woman's_Robe,Qing Dynasty (1644-1911)
Female_Playing_the_Flute,Qing Dynasty (1644-1911)
Snuff_Bottle,Qing Dynasty (1644-1911)
Conical_Bowl,Jin Dynasty (1115-1234) - Yuan Dynasty (1271-1368)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Snuff_Bottle_and_Stopper,Qing Dynasty (1644-1911)
Stem_Cup,Ming Dynasty (1368-1644)
Libation_Cup,Qing Dynasty (1644-1911)
Vase_(one_of_pair),Qing Dynasty (1644-1911)
Official_Receiving_a_Letter,Qing Dynasty (1644-1911)
Dish,Southern Song Dynasty (1127-1279) - Yuan Dynasty (1271-1368)
Snuff_Jar_with_Lid,Qing Dynasty (1644-1911)
